;advanced.name;0
api.proxyscrape.com;1155
free-proxy-list.com;250
free-proxy-list.net;1200
freeproxy.world;1300
github-RX4096;515
github-ShiftyTR;724
github-TheSpeedX;5070
github-Volodichev;2593
github-almroot;22
github-aslisk;2007
github-clarketm;400
github-hendrikbgr;51
github-hookzof;208
github-jetkai;8464
github-manuGMG;566
github-mertguvencli;176
github-mmpx12;3654
github-monosans;810
github-rdavydov;518
github-roosterkid;1028
github-sunny9577;891
hidemy.name;1600
list.proxylistplus.com;298
netzwelt.de;60
openproxy.space;0
premiumproxy.net;13
proxy-list.download;2096
proxydb.net;60
proxyscan.io;730
smallseotools.com;0
us-proxy.org;400
All: 36896, Without Duplicates: 14387
